year,date,time,lat,lon,data
2025,09-28,00:00,29.81453,-95.38769,4.9
2025,09-28,02:00,29.81453,-95.38769,16.2
2025,09-28,04:00,29.81453,-95.38769,16.4
2025,09-28,06:00,29.81453,-95.38769,16.2
2025,09-28,08:00,29.81453,-95.38769,15.5
2025,09-28,10:00,29.81453,-95.38769,14.4
2025,09-28,12:00,29.81453,-95.38769,7.5
2025,09-28,14:00,29.81453,-95.38769,12.0
2025,09-28,16:00,29.81453,-95.38769,9.6
2025,09-28,18:00,29.81453,-95.38769,4.0
2025,09-28,20:00,29.81453,-95.38769,10.6
2025,09-28,22:00,29.81453,-95.38769,5.0
2025,09-28,00:00,36.1767,-86.7386,5.5
2025,09-28,02:00,36.1767,-86.7386,5.6
2025,09-28,04:00,36.1767,-86.7386,8.6
2025,09-28,06:00,36.1767,-86.7386,8.6
2025,09-28,08:00,36.1767,-86.7386,8.4
2025,09-28,10:00,36.1767,-86.7386,8.2
2025,09-28,12:00,36.1767,-86.7386,7.7
2025,09-28,14:00,36.1767,-86.7386,7.2
2025,09-28,16:00,36.1767,-86.7386,5.6
2025,09-28,18:00,36.1767,-86.7386,4.8
2025,09-28,20:00,36.1767,-86.7386,4.7
2025,09-28,22:00,36.1767,-86.7386,5.1
2025,09-28,00:00,33.483799,-112.142601,15.5
2025,09-28,02:00,33.483799,-112.142601,5.3
2025,09-28,04:00,33.483799,-112.142601,4.2
2025,09-28,06:00,33.483799,-112.142601,4.6
2025,09-28,08:00,33.483799,-112.142601,6.0
2025,09-28,10:00,33.483799,-112.142601,8.4
2025,09-28,12:00,33.483799,-112.142601,9.4
2025,09-28,14:00,33.483799,-112.142601,5.9
2025,09-28,16:00,33.483799,-112.142601,7.4
2025,09-28,18:00,33.483799,-112.142601,8.4
2025,09-28,20:00,33.483799,-112.142601,5.6
2025,09-28,22:00,33.483799,-112.142601,3.7
2025,09-28,00:00,46.8214,-71.2208,10.1
2025,09-28,02:00,46.8214,-71.2208,13.8
2025,09-28,04:00,46.8214,-71.2208,16.1
2025,09-28,06:00,46.8214,-71.2208,7.8
2025,09-28,08:00,46.8214,-71.2208,5.8
2025,09-28,10:00,46.8214,-71.2208,8.7
2025,09-28,12:00,46.8214,-71.2208,5.9
2025,09-28,14:00,46.8214,-71.2208,13.0
2025,09-28,16:00,46.8214,-71.2208,7.8
2025,09-28,18:00,46.8214,-71.2208,4.6
2025,09-28,20:00,46.8214,-71.2208,4.2
2025,09-28,22:00,46.8214,-71.2208,4.7
2025,09-28,00:00,41.6833,-71.169701,5.9
2025,09-28,02:00,41.6833,-71.169701,6.3
2025,09-28,04:00,41.6833,-71.169701,5.7
2025,09-28,06:00,41.6833,-71.169701,5.4
2025,09-28,08:00,41.6833,-71.169701,5.1
2025,09-28,10:00,41.6833,-71.169701,4.7
2025,09-28,12:00,41.6833,-71.169701,4.7
2025,09-28,14:00,41.6833,-71.169701,3.9
2025,09-28,16:00,41.6833,-71.169701,4.9
2025,09-28,18:00,41.6833,-71.169701,3.5
2025,09-28,20:00,41.6833,-71.169701,3.3
2025,09-28,22:00,41.6833,-71.169701,4.4
2025,09-28,00:00,39.166,-120.1488,4.0
2025,09-28,02:00,39.166,-120.1488,4.0
2025,09-28,04:00,39.166,-120.1488,4.0
2025,09-28,06:00,39.166,-120.1488,8.0
2025,09-28,08:00,39.166,-120.1488,6.0
2025,09-28,10:00,39.166,-120.1488,8.0
2025,09-28,12:00,39.166,-120.1488,10.0
2025,09-28,14:00,39.166,-120.1488,6.0
2025,09-28,16:00,39.166,-120.1488,9.0
2025,09-28,18:00,39.166,-120.1488,1.0
2025,09-28,20:00,39.166,-120.1488,9.0
2025,09-28,22:00,39.166,-120.1488,7.0
2025,09-28,00:00,43.9947,-92.4497,5.1
2025,09-28,02:00,43.9947,-92.4497,14.5
2025,09-28,04:00,43.9947,-92.4497,18.5
2025,09-28,06:00,43.9947,-92.4497,14.4
2025,09-28,08:00,43.9947,-92.4497,10.4
2025,09-28,10:00,43.9947,-92.4497,8.1
2025,09-28,12:00,43.9947,-92.4497,7.5
2025,09-28,14:00,43.9947,-92.4497,6.2
2025,09-28,16:00,43.9947,-92.4497,3.5
2025,09-28,18:00,43.9947,-92.4497,3.6
2025,09-28,20:00,43.9947,-92.4497,3.5
2025,09-28,22:00,43.9947,-92.4497,5.4
2025,09-28,00:00,44.890197,-116.1065,37.9
2025,09-28,02:00,44.890197,-116.1065,38.9
2025,09-28,04:00,44.890197,-116.1065,44.3
2025,09-28,06:00,44.890197,-116.1065,35.4
2025,09-28,08:00,44.890197,-116.1065,33.0
2025,09-28,10:00,44.890197,-116.1065,20.8
2025,09-28,12:00,44.890197,-116.1065,18.9
2025,09-28,14:00,44.890197,-116.1065,17.7
2025,09-28,16:00,44.890197,-116.1065,12.9
2025,09-28,18:00,44.890197,-116.1065,19.2
2025,09-28,20:00,44.890197,-116.1065,9.6
2025,09-28,22:00,44.890197,-116.1065,5.1
2025,09-28,00:00,38.065,-84.5,6.0
2025,09-28,02:00,38.065,-84.5,8.8
2025,09-28,04:00,38.065,-84.5,19.4
2025,09-28,06:00,38.065,-84.5,33.4
2025,09-28,08:00,38.065,-84.5,11.4
2025,09-28,10:00,38.065,-84.5,11.4
2025,09-28,12:00,38.065,-84.5,11.7
2025,09-28,14:00,38.065,-84.5,6.5
2025,09-28,16:00,38.065,-84.5,6.0
2025,09-28,18:00,38.065,-84.5,7.2
2025,09-28,20:00,38.065,-84.5,7.5
2025,09-28,22:00,38.065,-84.5,7.2
2025,09-28,00:00,42.692131,-90.696373,14.0
2025,09-28,02:00,42.692131,-90.696373,11.0
2025,09-28,04:00,42.692131,-90.696373,8.0
2025,09-28,06:00,42.692131,-90.696373,6.0
2025,09-28,08:00,42.692131,-90.696373,5.0
2025,09-28,10:00,42.692131,-90.696373,5.0
2025,09-28,12:00,42.692131,-90.696373,4.0
2025,09-28,14:00,42.692131,-90.696373,4.0
2025,09-28,16:00,42.692131,-90.696373,6.0
2025,09-28,18:00,42.692131,-90.696373,7.0
2025,09-28,20:00,42.692131,-90.696373,8.0
2025,09-28,22:00,42.692131,-90.696373,9.0
2025,09-28,00:00,41.6708,-87.7325,9.8
2025,09-28,02:00,41.6708,-87.7325,13.3
2025,09-28,04:00,41.6708,-87.7325,13.7
2025,09-28,06:00,41.6708,-87.7325,14.5
2025,09-28,08:00,41.6708,-87.7325,13.0
2025,09-28,10:00,41.6708,-87.7325,13.6
2025,09-28,12:00,41.6708,-87.7325,14.1
2025,09-28,14:00,41.6708,-87.7325,8.4
2025,09-28,16:00,41.6708,-87.7325,8.5
2025,09-28,18:00,41.6708,-87.7325,9.3
2025,09-28,20:00,41.6708,-87.7325,9.4
2025,09-28,22:00,41.6708,-87.7325,6.6
2025,09-28,00:00,44.104498,-115.972386,10.0
2025,09-28,02:00,44.104498,-115.972386,11.0
2025,09-28,04:00,44.104498,-115.972386,11.0
2025,09-28,06:00,44.104498,-115.972386,8.0
2025,09-28,08:00,44.104498,-115.972386,8.0
2025,09-28,10:00,44.104498,-115.972386,8.0
2025,09-28,12:00,44.104498,-115.972386,8.0
2025,09-28,14:00,44.104498,-115.972386,8.0
2025,09-28,16:00,44.104498,-115.972386,11.0
2025,09-28,18:00,44.104498,-115.972386,11.0
2025,09-28,20:00,44.104498,-115.972386,9.0
2025,09-28,22:00,44.104498,-115.972386,5.0
2025,09-28,02:00,31.7467,-106.402802,1.0
2025,09-28,04:00,31.7467,-106.402802,4.0
2025,09-28,06:00,31.7467,-106.402802,3.0
2025,09-28,08:00,31.7467,-106.402802,2.0
2025,09-28,12:00,31.7467,-106.402802,2.0
2025,09-28,16:00,31.7467,-106.402802,4.0
2025,09-28,18:00,31.7467,-106.402802,7.0
2025,09-28,00:00,49.36972,-121.49944,3.9
2025,09-28,02:00,49.36972,-121.49944,3.8
2025,09-28,04:00,49.36972,-121.49944,4.1
2025,09-28,06:00,49.36972,-121.49944,3.5
2025,09-28,08:00,49.36972,-121.49944,1.0
2025,09-28,10:00,49.36972,-121.49944,1.2
2025,09-28,12:00,49.36972,-121.49944,1.2
2025,09-28,14:00,49.36972,-121.49944,1.9
2025,09-28,16:00,49.36972,-121.49944,2.0
2025,09-28,18:00,49.36972,-121.49944,2.9
2025,09-28,20:00,49.36972,-121.49944,2.7
2025,09-28,22:00,49.36972,-121.49944,4.0
2025,09-28,00:00,33.4997,-86.9242,3.7
2025,09-28,02:00,33.4997,-86.9242,4.2
2025,09-28,04:00,33.4997,-86.9242,4.9
2025,09-28,06:00,33.4997,-86.9242,5.1
2025,09-28,08:00,33.4997,-86.9242,5.3
2025,09-28,10:00,33.4997,-86.9242,5.5
2025,09-28,12:00,33.4997,-86.9242,5.3
2025,09-28,14:00,33.4997,-86.9242,4.0
2025,09-28,16:00,33.4997,-86.9242,4.2
2025,09-28,18:00,33.4997,-86.9242,4.4
2025,09-28,20:00,33.4997,-86.9242,3.6
2025,09-28,22:00,33.4997,-86.9242,3.7
2025,09-28,00:00,45.1425,-93.2139,1.9
2025,09-28,02:00,45.1425,-93.2139,3.4
2025,09-28,04:00,45.1425,-93.2139,16.9
2025,09-28,06:00,45.1425,-93.2139,15.8
2025,09-28,08:00,45.1425,-93.2139,12.8
2025,09-28,10:00,45.1425,-93.2139,10.9
2025,09-28,12:00,45.1425,-93.2139,6.4
2025,09-28,14:00,45.1425,-93.2139,3.5
2025,09-28,16:00,45.1425,-93.2139,2.9
2025,09-28,18:00,45.1425,-93.2139,1.6
2025,09-28,20:00,45.1425,-93.2139,1.3
2025,09-28,22:00,45.1425,-93.2139,1.4
2025,09-28,00:00,42.2211,-88.2411,11.3
2025,09-28,02:00,42.2211,-88.2411,14.5
2025,09-28,04:00,42.2211,-88.2411,11.2
2025,09-28,06:00,42.2211,-88.2411,12.0
2025,09-28,08:00,42.2211,-88.2411,11.6
2025,09-28,10:00,42.2211,-88.2411,11.7
2025,09-28,12:00,42.2211,-88.2411,10.0
2025,09-28,14:00,42.2211,-88.2411,6.2
2025,09-28,16:00,42.2211,-88.2411,5.5
2025,09-28,18:00,42.2211,-88.2411,6.1
2025,09-28,20:00,42.2211,-88.2411,8.1
2025,09-28,22:00,42.2211,-88.2411,7.1
2025,09-28,00:00,44.6306,-121.131599,9.0
2025,09-28,02:00,44.6306,-121.131599,7.0
2025,09-28,04:00,44.6306,-121.131599,8.0
2025,09-28,06:00,44.6306,-121.131599,9.0
2025,09-28,08:00,44.6306,-121.131599,10.0
2025,09-28,10:00,44.6306,-121.131599,12.0
2025,09-28,12:00,44.6306,-121.131599,14.0
2025,09-28,14:00,44.6306,-121.131599,15.0
2025,09-28,16:00,44.6306,-121.131599,14.0
2025,09-28,18:00,44.6306,-121.131599,15.0
2025,09-28,20:00,44.6306,-121.131599,21.0
2025,09-28,22:00,44.6306,-121.131599,26.0
2025,09-28,00:00,44.9594,-93.0356,7.7
2025,09-28,02:00,44.9594,-93.0356,41.0
2025,09-28,04:00,44.9594,-93.0356,45.8
2025,09-28,06:00,44.9594,-93.0356,23.0
2025,09-28,08:00,44.9594,-93.0356,17.0
2025,09-28,10:00,44.9594,-93.0356,12.2
2025,09-28,12:00,44.9594,-93.0356,9.7
2025,09-28,14:00,44.9594,-93.0356,7.2
2025,09-28,16:00,44.9594,-93.0356,4.7
2025,09-28,18:00,44.9594,-93.0356,3.0
2025,09-28,20:00,44.9594,-93.0356,3.0
2025,09-28,22:00,44.9594,-93.0356,3.5
2025,09-28,00:00,41.0604,-81.9239,5.3
2025,09-28,02:00,41.0604,-81.9239,7.1
2025,09-28,04:00,41.0604,-81.9239,9.5
2025,09-28,06:00,41.0604,-81.9239,9.4
2025,09-28,08:00,41.0604,-81.9239,7.6
2025,09-28,10:00,41.0604,-81.9239,8.8
2025,09-28,12:00,41.0604,-81.9239,7.3
2025,09-28,14:00,41.0604,-81.9239,9.6
2025,09-28,16:00,41.0604,-81.9239,8.9
2025,09-28,18:00,41.0604,-81.9239,8.9
2025,09-28,20:00,41.0604,-81.9239,9.9
2025,09-28,22:00,41.0604,-81.9239,10.4
2025,09-28,00:00,30.4758,-81.5869,10.4
2025,09-28,02:00,30.4758,-81.5869,6.9
2025,09-28,04:00,30.4758,-81.5869,4.5
2025,09-28,06:00,30.4758,-81.5869,8.3
2025,09-28,08:00,30.4758,-81.5869,9.7
2025,09-28,10:00,30.4758,-81.5869,8.5
2025,09-28,12:00,30.4758,-81.5869,18.4
2025,09-28,16:00,30.4758,-81.5869,3.8
2025,09-28,18:00,30.4758,-81.5869,6.5
2025,09-28,20:00,30.4758,-81.5869,7.8
2025,09-28,22:00,30.4758,-81.5869,7.0
2025,09-28,00:00,28.958372,-82.643094,3.9
2025,09-28,02:00,28.958372,-82.643094,5.2
2025,09-28,04:00,28.958372,-82.643094,4.3
2025,09-28,06:00,28.958372,-82.643094,5.0
2025,09-28,08:00,28.958372,-82.643094,4.7
2025,09-28,10:00,28.958372,-82.643094,7.9
2025,09-28,12:00,28.958372,-82.643094,14.3
2025,09-28,14:00,28.958372,-82.643094,7.8
2025,09-28,16:00,28.958372,-82.643094,5.0
2025,09-28,18:00,28.958372,-82.643094,3.8
2025,09-28,20:00,28.958372,-82.643094,4.9
2025,09-28,22:00,28.958372,-82.643094,7.9
2025,09-28,00:00,35.151588,-89.85022,5.8
2025,09-28,02:00,35.151588,-89.85022,8.3
2025,09-28,04:00,35.151588,-89.85022,23.8
2025,09-28,06:00,35.151588,-89.85022,15.8
2025,09-28,08:00,35.151588,-89.85022,12.0
2025,09-28,10:00,35.151588,-89.85022,13.2
2025,09-28,12:00,35.151588,-89.85022,10.1
2025,09-28,14:00,35.151588,-89.85022,7.8
2025,09-28,16:00,35.151588,-89.85022,5.7
2025,09-28,18:00,35.151588,-89.85022,5.7
2025,09-28,20:00,35.151588,-89.85022,5.8
2025,09-28,22:00,35.151588,-89.85022,5.8
2025,09-28,00:00,42.3042,-83.1072,5.9
2025,09-28,02:00,42.3042,-83.1072,10.9
2025,09-28,04:00,42.3042,-83.1072,16.0
2025,09-28,06:00,42.3042,-83.1072,13.7
2025,09-28,08:00,42.3042,-83.1072,15.4
2025,09-28,10:00,42.3042,-83.1072,14.7
2025,09-28,12:00,42.3042,-83.1072,13.5
2025,09-28,14:00,42.3042,-83.1072,8.9
2025,09-28,16:00,42.3042,-83.1072,8.1
2025,09-28,18:00,42.3042,-83.1072,8.2
2025,09-28,20:00,42.3042,-83.1072,7.5
2025,09-28,22:00,42.3042,-83.1072,6.2
2025,09-28,00:00,39.41,-76.2967,4.0
2025,09-28,02:00,39.41,-76.2967,5.0
2025,09-28,04:00,39.41,-76.2967,4.0
2025,09-28,06:00,39.41,-76.2967,3.0
2025,09-28,08:00,39.41,-76.2967,3.0
2025,09-28,10:00,39.41,-76.2967,3.0
2025,09-28,12:00,39.41,-76.2967,6.0
2025,09-28,14:00,39.41,-76.2967,3.0
2025,09-28,16:00,39.41,-76.2967,2.0
2025,09-28,18:00,39.41,-76.2967,1.0
2025,09-28,20:00,39.41,-76.2967,2.0
2025,09-28,22:00,39.41,-76.2967,2.0
2025,09-28,00:00,42.607817,-113.786817,9.5
2025,09-28,02:00,42.607817,-113.786817,8.3
2025,09-28,04:00,42.607817,-113.786817,8.3
2025,09-28,06:00,42.607817,-113.786817,12.0
2025,09-28,08:00,42.607817,-113.786817,7.0
2025,09-28,10:00,42.607817,-113.786817,8.9
2025,09-28,12:00,42.607817,-113.786817,8.9
2025,09-28,14:00,42.607817,-113.786817,8.9
2025,09-28,16:00,42.607817,-113.786817,7.7
